Altium Designer Pick and Place Locations
D:\Design\Altium_designer\Laser_diodes\HELIOS-T\ld_pulser\Documentation\Manufacturing\Pick Place\Pick Place for pulser(fabrication).csv

========================================================================================================================
File Design Information:

Date:       17/07/25
Time:       15:01
Revision:   8f24b009126f9130d365d2933b08ee6e82b0b91e
Variant:    fabrication
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number"
"C14","10uF","BottomLayer","CAP_0603_1608","11.9000","5.3000","180","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"C13","10uF","BottomLayer","CAP_0603_1608","11.9000","7.0000","180","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_1_1","10uF","BottomLayer","CAP_0603_1608","11.7000","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"LED1","APG0603SEC-E-TT","BottomLayer","APG0603SECETT","0.4750","5.8000","180","Diode LED RED 10 mA @ 1.93 V lv=40","APG0603SEC-E-TT"
"LED3","APG0603ZGC-5MAV","BottomLayer","APG0603SECETT","9.2750","6.1000","270","Diode LED GREEN 5 mA @ 2.85 V lv=80(?)","APG0603ZGC-5MAV"
"R3","51","BottomLayer","RES_0201_0603","8.7750","6.2750","90","RES SMD 51 OHM 1% 1/20W 0201","ERJ1GNF51R0C"
"J1","503480-1800","BottomLayer","5034801800","5.6325","1.8750","0","Conn FPC  18 POS 0.5mm","5034801800"
"R1","470","BottomLayer","RES_0201_0603","0.5750","6.4000","0","RES SMD 470 OHM 1% 1/20W 0201","ERJ-1GNF4700C"
"CC_2_6","10uF","TopLayer","CAP_0603_1608","11.7000","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_2_5","10uF","TopLayer","CAP_0603_1608","10.3800","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_2_4","10uF","TopLayer","CAP_0603_1608","9.0600","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_2_3","10uF","TopLayer","CAP_0603_1608","7.7400","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_2_2","10uF","TopLayer","CAP_0603_1608","6.4200","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_2_1","10uF","TopLayer","CAP_0603_1608","5.1000","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_1_6","10uF","BottomLayer","CAP_0603_1608","5.1000","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_1_5","10uF","BottomLayer","CAP_0603_1608","6.4200","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_1_4","10uF","BottomLayer","CAP_0603_1608","7.7400","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_1_3","10uF","BottomLayer","CAP_0603_1608","9.0600","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"CC_1_2","10uF","BottomLayer","CAP_0603_1608","10.3800","10.9000","90","CAP CER 10UF 25V X5R 0603","ZRB18AR61E106ME01L"
"R9","4.99 k","TopLayer","RES_0201_0603","3.4000","14.7000","0","RES SMD 4.99 kOHM 1% 1/20W 0201","ERJ-1GNF4991C"
"CA_1_3","47 nF","BottomLayer","CAPC0510X35N","9.0000","15.9000","90","CAP CER 47 nF, 50V, 20%  X7R  0204","CGAEA1X7R1H473M030BC"
"U7","SN74LVC1G06YZPR","TopLayer","YZP0005ADAD","1.5250","9.3750","270","IC Single Inverter Buffer/Driver With Open-Drain Output, YZP0005ADAD, LARGE T&R","SN74LVC1G06YZPR"
"R12","4.99 k","TopLayer","RES_0402_1005","1.2500","7.9750","0","RES SMD 4.99KOHM 0.1% 1/16W 0402",""
"C15","0.1uF","TopLayer","CAP_0201_0603","1.7000","8.6750","0","CAP CER 0.1UF 35V X5R 0201",""
"C_2_12","33nF","TopLayer","FP-LLL03T-0_03-IPC_C","1.7500","16.2250","270","CAP LOW L CER 33nF 25V X5R 0102","LLL03TR61E333KE01L"
"C_1_12","33nF","BottomLayer","FP-LLL03T-0_03-IPC_C","1.6875","16.1500","270","CAP LOW L CER 33nF 25V X5R 0102","LLL03TR61E333KE01L"
"CB_2_12","2.2 µF","TopLayer","CAP_0603_1608","5.8000","13.8000","0","CAP CER 2.2UF 50V X5R 0603",""
"CB_2_11","2.2 µF","TopLayer","CAP_0603_1608","5.8000","12.8000","0","CAP CER 2.2UF 50V X5R 0603",""
"CB_1_12","2.2 µF","BottomLayer","CAP_0603_1608","11.1000","13.8000","180","CAP CER 2.2UF 50V X5R 0603",""
"CB_1_11","2.2 µF","BottomLayer","CAP_0603_1608","11.1000","12.8000","180","CAP CER 2.2UF 50V X5R 0603",""
"CA_1_15","47 nF","BottomLayer","CAPC0510X35N","10.1000","15.8985","90","CAP CER 47 nF, 50V, 20%  X7R  0204","CGAEA1X7R1H473M030BC"
